id,client_id,date,type,duration_min,rpe,notes
s_286a4e3d66,c_alice,2026-04-21,strength,75,6,
s_d5cf63ec51,c_alice,2026-04-23,cardio,45,6,
s_457bfba9f5,c_alice,2026-04-25,strength,75,6,
s_2a0741740f,c_alice,2026-04-26,strength,45,6,
s_552a1af3b1,c_alice,2026-04-28,strength,75,6,
s_b024925efa,c_alice,2026-04-30,mobility,45,6,
s_ec799eb20f,c_alice,2026-05-02,mixed,45,6,
s_b5cde9b7d1,c_alice,2026-05-03,cardio,75,6,
s_770de7a23f,c_alice,2026-05-05,mixed,45,6,
s_bd3b354a14,c_alice,2026-05-07,mixed,45,6,
s_03cdb9d7d4,c_alice,2026-05-09,strength,60,6,
s_69e8ecf0cf,c_alice,2026-05-10,mixed,45,6,
s_8427b4d4d0,c_alice,2026-05-12,strength,60,6,
s_58b3fac3ce,c_alice,2026-05-14,mixed,75,6,
s_58574cb8ff,c_alice,2026-05-16,mixed,75,6,
s_634eef63d1,c_alice,2026-05-17,strength,45,6,
s_a504060e85,c_alice,2026-05-19,mixed,45,6,
s_fadffe4d5c,c_alice,2026-05-21,strength,60,6,
s_9891f67a9a,c_alice,2026-05-23,mixed,45,6,
s_fa6d58c70a,c_alice,2026-05-24,cardio,75,6,
s_f4106a7b25,c_ben,2026-04-21,strength,75,7,
s_a0b82f1a9e,c_ben,2026-04-23,cardio,45,7,
s_a3c1a53411,c_ben,2026-04-25,mixed,75,7,
s_22f25390b2,c_ben,2026-04-26,cardio,75,7,
s_869119834a,c_ben,2026-04-28,strength,45,7,
s_868af3cbbf,c_ben,2026-04-30,mixed,60,7,
s_416ec1a3c3,c_ben,2026-05-02,cardio,75,7,
s_a94df2d5f7,c_ben,2026-05-03,mixed,45,7,
s_a05a5e3503,c_ben,2026-05-05,mobility,75,7,
s_beb2ebbc64,c_ben,2026-05-07,mixed,45,7,
s_493e2e14db,c_ben,2026-05-09,mixed,75,7,
s_dbf0825ed7,c_ben,2026-05-10,mobility,60,7,
s_112d00ffbb,c_ben,2026-05-12,cardio,75,7,
s_79d8303ed7,c_ben,2026-05-14,strength,45,7,
s_08cd48de59,c_ben,2026-05-16,cardio,75,7,
s_f939952e57,c_ben,2026-05-17,strength,60,7,
s_c5caa9152d,c_ben,2026-05-19,mobility,75,7,
s_a49765645a,c_ben,2026-05-21,strength,75,7,
s_0701676f8b,c_ben,2026-05-23,mixed,75,7,
s_312be0b8f0,c_ben,2026-05-24,mixed,60,7,
s_98981e2e57,c_carla,2026-04-21,strength,75,10,
s_d9c39a17d0,c_carla,2026-04-23,mixed,75,10,
s_933ec511ef,c_carla,2026-04-25,strength,75,10,
s_c92767581b,c_carla,2026-04-26,cardio,45,10,
s_c182db56d5,c_carla,2026-04-28,cardio,75,10,
s_bd5debd7ac,c_carla,2026-04-30,strength,75,10,
s_19d579ba55,c_carla,2026-05-02,strength,45,9,
s_d0d328577a,c_carla,2026-05-03,mixed,45,10,
s_d256a0c3bc,c_carla,2026-05-05,strength,45,8,
s_73a74ec446,c_carla,2026-05-07,strength,75,9,
s_b9c9220387,c_carla,2026-05-09,cardio,75,9,
s_afe070807d,c_carla,2026-05-10,cardio,60,8,
s_7903756aa2,c_carla,2026-05-12,mobility,45,8,
s_3b78e11ab4,c_carla,2026-05-14,cardio,75,8,
s_a733fa2a44,c_carla,2026-05-16,mixed,60,7,
s_5bea363580,c_carla,2026-05-17,mobility,45,8,
s_8a1aca5fc1,c_carla,2026-05-19,strength,60,7,
s_c1f4fa8afe,c_carla,2026-05-21,cardio,75,6,
s_f7bb64097d,c_carla,2026-05-23,strength,75,6,
s_1c4c697a0b,c_carla,2026-05-24,cardio,45,6,
s_c3abffaaf7,c_holmes,2026-04-21,mixed,45,7,
s_110aa1b5d7,c_holmes,2026-04-23,mixed,75,7,
s_6711fd0927,c_holmes,2026-04-25,cardio,75,7,
s_97f6158d07,c_holmes,2026-04-26,mobility,45,7,
s_2de1302a71,c_holmes,2026-04-28,mobility,45,7,
s_f66941ce0c,c_holmes,2026-04-30,mobility,60,7,
s_ffc097b880,c_holmes,2026-05-02,mobility,75,7,
s_84fb71409d,c_holmes,2026-05-03,strength,45,7,
s_b21827bf93,c_holmes,2026-05-05,mixed,45,7,
s_44528f4062,c_holmes,2026-05-07,cardio,75,7,
s_fb9d45d784,c_holmes,2026-05-09,mobility,45,7,
s_101936c05d,c_holmes,2026-05-10,cardio,45,7,
s_971d7d0c01,c_holmes,2026-05-12,strength,45,7,
s_70b120b4e2,c_holmes,2026-05-14,strength,45,7,
s_91bf940c22,c_holmes,2026-05-16,cardio,45,7,
s_37f3ce29d9,c_holmes,2026-05-17,mobility,45,7,
s_fe01de9268,c_holmes,2026-05-19,strength,45,7,
s_313e4bbc07,c_holmes,2026-05-21,mobility,60,7,
s_1d5373db50,c_holmes,2026-05-23,mobility,60,7,
s_47bb0e7026,c_holmes,2026-05-24,mobility,45,7,
s_de35d7674e,c_quixote,2026-04-21,cardio,45,8,
s_f17e357d7c,c_quixote,2026-04-23,strength,75,8,
s_7ee9de4130,c_quixote,2026-04-25,strength,75,8,
s_02a557d345,c_quixote,2026-04-26,cardio,45,8,
s_f63091cfb4,c_quixote,2026-04-28,strength,45,8,
s_56dd5b0a10,c_quixote,2026-04-30,strength,75,8,
s_44e30a312e,c_quixote,2026-05-02,mobility,45,8,
s_9585d924a4,c_quixote,2026-05-03,cardio,75,8,
s_950843fc28,c_quixote,2026-05-05,strength,60,8,
s_44bda68344,c_quixote,2026-05-07,mixed,60,8,
s_81ced0be82,c_quixote,2026-05-09,mixed,45,8,
s_ce0d88ca58,c_quixote,2026-05-10,cardio,75,8,
s_bb7e8c873d,c_quixote,2026-05-12,mobility,60,8,
s_0f77c1dfd3,c_quixote,2026-05-14,strength,45,8,
s_fb0a4dc101,c_quixote,2026-05-16,strength,45,8,
s_19cbb0c271,c_quixote,2026-05-17,mixed,45,8,
s_a8b08c5810,c_quixote,2026-05-19,strength,45,8,
s_d6f741561d,c_quixote,2026-05-21,cardio,60,8,
s_e598e2f174,c_quixote,2026-05-23,mixed,75,8,
s_4164016ddd,c_quixote,2026-05-24,strength,75,8,
