Activity Date,Activity Type,Average Heart Rate,Max Heart Rate,Elapsed Time
"Jun 11, 2026, 12:00:00 AM",Ride,149.0,179.0,2700
"Jun 13, 2026, 12:00:00 AM",Ride,157.0,173.0,3600
"Jun 16, 2026, 12:00:00 AM",Ride,137.0,169.0,3600
"Jun 18, 2026, 12:00:00 AM",Run,143.0,181.0,2700
"Jun 20, 2026, 12:00:00 AM",Workout,138.0,180.0,2700
"Jun 23, 2026, 12:00:00 AM",Run,157.0,182.0,3600
"Jun 25, 2026, 12:00:00 AM",Ride,154.0,171.0,2700
"Jun 27, 2026, 12:00:00 AM",Workout,155.0,170.0,3600
"Jun 30, 2026, 12:00:00 AM",Workout,154.0,169.0,3600
"Jul 02, 2026, 12:00:00 AM",Run,155.0,180.0,3600
"Jul 04, 2026, 12:00:00 AM",Ride,144.0,165.0,2700
"Jul 07, 2026, 12:00:00 AM",Workout,154.0,176.0,3600
"Jul 09, 2026, 12:00:00 AM",Workout,150.0,184.0,2700
"Jul 11, 2026, 12:00:00 AM",Run,157.0,181.0,2700
"Jul 14, 2026, 12:00:00 AM",Run,153.0,172.0,2700
