Activity Date,Activity Type,Average Heart Rate,Max Heart Rate,Elapsed Time
"Apr 21, 2026, 12:00:00 AM",Workout,152.0,180.0,4500
"Apr 23, 2026, 12:00:00 AM",Run,149.0,170.0,4500
"Apr 25, 2026, 12:00:00 AM",Ride,158.0,180.0,3600
"Apr 28, 2026, 12:00:00 AM",Run,152.0,179.0,2700
"Apr 30, 2026, 12:00:00 AM",Ride,139.0,171.0,2700
"May 02, 2026, 12:00:00 AM",Run,142.0,166.0,3600
"May 05, 2026, 12:00:00 AM",Ride,145.0,170.0,3600
"May 07, 2026, 12:00:00 AM",Workout,151.0,169.0,2700
"May 09, 2026, 12:00:00 AM",Run,149.0,173.0,4500
"May 12, 2026, 12:00:00 AM",Run,146.0,177.0,2700
"May 14, 2026, 12:00:00 AM",Ride,150.0,174.0,4500
"May 16, 2026, 12:00:00 AM",Run,156.0,174.0,3600
"May 19, 2026, 12:00:00 AM",Workout,148.0,166.0,3600
"May 21, 2026, 12:00:00 AM",Workout,142.0,184.0,4500
"May 23, 2026, 12:00:00 AM",Ride,146.0,171.0,3600
