Activity Date,Activity Type,Average Heart Rate,Max Heart Rate,Elapsed Time
"Jun 11, 2026, 12:00:00 AM",Run,158.0,166.0,3600
"Jun 13, 2026, 12:00:00 AM",Run,155.0,171.0,2700
"Jun 16, 2026, 12:00:00 AM",Workout,144.0,165.0,3600
"Jun 18, 2026, 12:00:00 AM",Run,141.0,184.0,2700
"Jun 20, 2026, 12:00:00 AM",Run,152.0,169.0,3600
"Jun 23, 2026, 12:00:00 AM",Run,157.0,180.0,4500
"Jun 25, 2026, 12:00:00 AM",Ride,152.0,168.0,3600
"Jun 27, 2026, 12:00:00 AM",Workout,154.0,180.0,3600
"Jun 30, 2026, 12:00:00 AM",Workout,138.0,172.0,3600
"Jul 02, 2026, 12:00:00 AM",Workout,149.0,178.0,2700
"Jul 04, 2026, 12:00:00 AM",Workout,138.0,179.0,3600
"Jul 07, 2026, 12:00:00 AM",Run,155.0,173.0,4500
"Jul 09, 2026, 12:00:00 AM",Run,136.0,166.0,3600
"Jul 11, 2026, 12:00:00 AM",Workout,156.0,176.0,3600
"Jul 14, 2026, 12:00:00 AM",Run,140.0,183.0,3600
