Activity Date,Activity Type,Average Heart Rate,Max Heart Rate,Elapsed Time
"Apr 21, 2026, 12:00:00 AM",Workout,152.0,185.0,4500
"Apr 23, 2026, 12:00:00 AM",Ride,137.0,173.0,3600
"Apr 25, 2026, 12:00:00 AM",Workout,138.0,172.0,4500
"Apr 28, 2026, 12:00:00 AM",Workout,141.0,173.0,4500
"Apr 30, 2026, 12:00:00 AM",Ride,137.0,170.0,2700
"May 02, 2026, 12:00:00 AM",Workout,155.0,176.0,4500
"May 05, 2026, 12:00:00 AM",Run,150.0,178.0,3600
"May 07, 2026, 12:00:00 AM",Workout,142.0,173.0,2700
"May 09, 2026, 12:00:00 AM",Run,157.0,171.0,3600
"May 12, 2026, 12:00:00 AM",Run,137.0,183.0,2700
"May 14, 2026, 12:00:00 AM",Ride,145.0,178.0,4500
"May 16, 2026, 12:00:00 AM",Workout,157.0,173.0,4500
"May 19, 2026, 12:00:00 AM",Workout,139.0,173.0,2700
"May 21, 2026, 12:00:00 AM",Ride,149.0,184.0,3600
"May 23, 2026, 12:00:00 AM",Run,151.0,169.0,3600
