Activity Date,Activity Type,Average Heart Rate,Max Heart Rate,Elapsed Time
"Jun 11, 2026, 12:00:00 AM",Run,145.0,170.0,2700
"Jun 13, 2026, 12:00:00 AM",Ride,152.0,174.0,4500
"Jun 16, 2026, 12:00:00 AM",Workout,140.0,173.0,4500
"Jun 18, 2026, 12:00:00 AM",Workout,141.0,178.0,2700
"Jun 20, 2026, 12:00:00 AM",Workout,150.0,166.0,4500
"Jun 23, 2026, 12:00:00 AM",Ride,152.0,173.0,3600
"Jun 25, 2026, 12:00:00 AM",Run,142.0,170.0,4500
"Jun 27, 2026, 12:00:00 AM",Ride,155.0,176.0,2700
"Jun 30, 2026, 12:00:00 AM",Workout,156.0,181.0,2700
"Jul 02, 2026, 12:00:00 AM",Run,147.0,182.0,4500
"Jul 04, 2026, 12:00:00 AM",Workout,152.0,167.0,4500
"Jul 07, 2026, 12:00:00 AM",Run,155.0,175.0,4500
"Jul 09, 2026, 12:00:00 AM",Workout,143.0,173.0,2700
"Jul 11, 2026, 12:00:00 AM",Run,156.0,171.0,4500
"Jul 14, 2026, 12:00:00 AM",Ride,141.0,172.0,2700
